county,level,school_name,lat,lon,address
Hanover,Elementary,Ashland Elementary School,37.7605,-77.4825,"201 Archie Cannon Drive, Ashland, VA 23005"
Hanover,Elementary,Battlefield Park Elementary School,37.6006,-77.3094,"5501 Mechanicsville Turnpike, Mechanicsville, VA 23111"
Hanover,Elementary,Beaverdam Elementary School,37.9333,-77.6548,"15485 Beaverdam School Rd, Beaverdam, VA 23015"
Hanover,Elementary,Cold Harbor Elementary School,37.5898,-77.2917,"6740 Cold Harbor Rd, Mechanicsville, VA 23111"
Hanover,Elementary,Cool Spring Elementary School,37.6698,-77.4082,"9964 Honey Meadows Rd, Mechanicsville, VA 23116"
Hanover,Elementary,Elmont Elementary School,37.7088,-77.4862,"12007 Cedar Ln, Ashland, VA 23005"
Hanover,Elementary,Kersey Creek Elementary School,37.6974,-77.3694,"10004 Learning Ln, Mechanicsville, VA 23116"
Hanover,Elementary,Laurel Meadow Elementary School,37.6074,-77.3323,"8248 Lee-Davis Rd, Mechanicsville, VA 23111"
Hanover,Elementary,Mechanicsville Elementary School,37.6083,-77.3592,"7425 Mechanicsville Turnpike, Mechanicsville, VA 23111"
Hanover,Elementary,Pearson's Corner Elementary School,37.6277,-77.3061,"8290 New Bethesda Rd, Mechanicsville, VA 23111"
Hanover,Elementary,Pole Green Elementary School,37.6631,-77.3197,"8993 Pole Green Park Ln, Mechanicsville, VA 23116"
Hanover,Elementary,Rural Point Elementary School,37.6713,-77.3599,"7161 Studley Rd, Mechanicsville, VA 23116"
Hanover,Elementary,South Anna Elementary School,37.8214,-77.6844,"13122 Walton's Tavern Road, Montpelier, VA 23192"
Hanover,Elementary,Washington-Henry Elementary School,37.6534,-77.3912,"9025 Washington Henry Dr, Mechanicsville, VA 23116"
Hanover,Middle,Bell Creek Middle School,37.6041,-77.3361,"8021 Lee-Davis Rd, Mechanicsville, VA 23111"
Hanover,Middle,Chickahominy Middle School,37.6644,-77.4143,"9450 Atlee Station Rd, Mechanicsville, VA 23116"
Hanover,Middle,Liberty Middle School,37.7698,-77.4988,"13496 Liberty School Rd, Ashland, VA 23005"
Hanover,Middle,Oak Knoll Middle School,37.6937,-77.4042,"10295 Chamberlayne Rd, Mechanicsville, VA 23116"
Hanover,High,The Georgetown School,37.6853,-77.3852,"10000 Learning Ln, Mechanicsville, VA 23116"
