county,level,school_name,lat,lon,address
Hanover,Elementary,Ashland Elementary School,,,"201 Archie Cannon Drive, Ashland, VA 23005"
Hanover,Elementary,Battlefield Park Elementary School,,,"5501 Mechanicsville Turnpike, Mechanicsville, VA 23111"
Hanover,Elementary,Beaverdam Elementary School,,,"15485 Beaverdam School Rd, Beaverdam, VA 23015"
Hanover,Elementary,Cold Harbor Elementary School,,,"6740 Cold Harbor Rd, Mechanicsville, VA 23111"
Hanover,Elementary,Cool Spring Elementary School,,,"9964 Honey Meadows Rd, Mechanicsville, VA 23116"
Hanover,Elementary,Elmont Elementary School,,,"12007 Cedar Ln, Ashland, VA 23005"
Hanover,Elementary,Kersey Creek Elementary School,,,"10004 Learning Ln, Mechanicsville, VA 23116"
Hanover,Elementary,Laurel Meadow Elementary School,,,"8248 Lee-Davis Rd, Mechanicsville, VA 23111"
Hanover,Elementary,Mechanicsville Elementary School,,,"7425 Mechanicsville Turnpike, Mechanicsville, VA 23111"
Hanover,Elementary,Pearson's Corner Elementary School,,,"8290 New Bethesda Rd, Mechanicsville, VA 23111"
Hanover,Elementary,Pole Green Elementary School,,,"8993 Pole Green Park Ln, Mechanicsville, VA 23116"
Hanover,Elementary,Rural Point Elementary School,,,"7161 Studley Rd, Mechanicsville, VA 23116"
Hanover,Elementary,South Anna Elementary School,,,"13122 Walton's Tavern Road, Montpelier, VA 23192"
Hanover,Elementary,Washington-Henry Elementary School,,,"9025 Washington Henry Dr, Mechanicsville, VA 23116"
Hanover,Middle,Bell Creek Middle School,,,"8021 Lee-Davis Rd, Mechanicsville, VA 23111"
Hanover,Middle,Chickahominy Middle School,,,"9450 Atlee Station Rd, Mechanicsville, VA 23116"
Hanover,Middle,Liberty Middle School,,,"13496 Liberty School Rd, Ashland, VA 23005"
Hanover,Middle,Oak Knoll Middle School,,,"10295 Chamberlayne Rd, Mechanicsville, VA 23116"
Hanover,High,The Georgetown School,,,"10000 Learning Ln, Mechanicsville, VA 23116"
Hanover,High,Atlee High School,,,"9414 Atlee Station Rd, Mechanicsville, VA 23116"
Hanover,High,Hanover High School,,,"10307 Chamberlayne Rd, Mechanicsville, VA 23116"
Hanover,High,Mechanicsville High School,,,"7052 Mechanicsville Turnpike, Mechanicsville, VA 23111"
Hanover,High,Patrick Henry High School,,,"12449 W Patrick Henry Rd, Ashland, VA 23005"
Henrico,Elementary,Anthony P. Mehfoud Elementary School,,,"8320 Buffin Rd, Richmond, VA 23231"
Henrico,Elementary,Arthur Ashe Jr. Elementary School,,,"1001 Cedar Fork Road, Richmond, VA 23223"
Henrico,Elementary,Cashell Donahoe Elementary School,,,"1801 Graves Rd, Sandston, VA 23150"
Henrico,Elementary,Chamberlayne Elementary School,,,"8200 St Charles Rd, Richmond, VA 23227"
Henrico,Elementary,Charles M. Johnson Elementary School,,,"5600 Bethlehem Rd, Henrico, VA 23230"
Henrico,Elementary,Colonial Trail Elementary School,,,"12101 Bacova Drive, Glen Allen, VA 23059"
Henrico,Elementary,Crestview Elementary School,,,"1901 Charles St, Henrico, VA 23226"
Henrico,Elementary,David A. Kaechele Elementary School,,,"5680 Pouncey Tract Rd, Glen Allen, VA 23059"
Henrico,Elementary,Dumbarton Elementary School,,,"9000 Hungary Spring Rd, Henrico, VA 23228"
Henrico,Elementary,Echo Lake Elementary School,,,"5200 Francistown Rd, Glen Allen, VA 23060"
Henrico,Elementary,Elizabeth Holladay Elementary School,,,"7300 Galaxie Rd, Henrico, VA 23228"
Henrico,Elementary,Fair Oaks Elementary School,,,"201 Jennings Rd, Highland Springs, VA 23075"
Henrico,Elementary,Gayton Elementary School,,,"12481 Church Rd, Henrico, VA 23233"
Henrico,Elementary,George F. Baker Elementary School,,,"6651 Willson Rd, Richmond, VA 23231"
Henrico,Elementary,Glen Allen Elementary School,,,"11101 Mill Rd, Glen Allen, VA 23060"
Henrico,Elementary,Glen Lea Elementary School,,,"3909 Austin Ave, Richmond, VA 23222"
Henrico,Elementary,Greenwood Elementary School,,,"10960 Greenwood Rd, Glen Allen, VA 23060"
Henrico,Elementary,Harold Macon Ratcliffe Elementary School,,,"2901 Thalen St, Richmond, VA 23223"
Henrico,Elementary,Harvie Elementary School,,,"3401 Harvie Rd, Henrico, VA 23223"
Henrico,Elementary,Henry D. Ward Elementary School,,,"3400 Darbytown Road, Richmond, VA 23231"
Henrico,Elementary,Highland Springs Elementary School,,,"600 Pleasant St, Highland Springs, VA 23075"
Henrico,Elementary,Jackson Davis Elementary School,,,"8801 Nesslewood Dr, Richmond, VA 23229"
Henrico,Elementary,Jacob L. Adams Elementary School,,,"600 S Laburnum Ave, Richmond, VA 23223"
