county,level,school_name,lat,lon,address
Hanover,Elementary,Ashland Elementary School,37.77032,-77.474656,"201 Archie Cannon Drive, Ashland, VA 23005"
Hanover,Elementary,Battlefield Park Elementary School,37.626141,-77.296463,"5501 Mechanicsville Turnpike, Mechanicsville, VA 23111"
Hanover,Elementary,Beaverdam Elementary School,37.933275,-77.642262,"15485 Beaverdam School Rd, Beaverdam, VA 23015"
Hanover,Elementary,Cold Harbor Elementary School,37.593192,-77.319797,"6740 Cold Harbor Rd, Mechanicsville, VA 23111"
Hanover,Elementary,Cool Spring Elementary School,37.670018,-77.411727,"9964 Honey Meadows Rd, Mechanicsville, VA 23116"
Hanover,Elementary,Elmont Elementary School,37.714359,-77.5078,"12007 Cedar Ln, Ashland, VA 23005"
Hanover,Elementary,Kersey Creek Elementary School,37.691019,-77.389428,"10004 Learning Ln, Mechanicsville, VA 23116"
Hanover,Elementary,Laurel Meadow Elementary School,37.627618,-77.33701,"8248 Lee-Davis Rd, Mechanicsville, VA 23111"
Hanover,Elementary,Mechanicsville Elementary School,37.605093,-77.370727,"7425 Mechanicsville Turnpike, Mechanicsville, VA 23111"
Hanover,Elementary,Pearson's Corner Elementary School,37.6422,-77.256611,"8290 New Bethesda Rd, Mechanicsville, VA 23111"
Hanover,Elementary,Pole Green Elementary School,37.640172,-77.308966,"8993 Pole Green Park Ln, Mechanicsville, VA 23116"
Hanover,Elementary,Rural Point Elementary School,37.665137,-77.339582,"7161 Studley Rd, Mechanicsville, VA 23116"
Hanover,Elementary,South Anna Elementary School,37.761802,-77.659919,"13122 Walton's Tavern Road, Montpelier, VA 23192"
Hanover,Elementary,Washington-Henry Elementary School,37.645838,-77.383789,"9025 Washington Henry Dr, Mechanicsville, VA 23116"
Hanover,Middle,Bell Creek Middle School,37.617806,-77.340885,"8021 Lee-Davis Rd, Mechanicsville, VA 23111"
Hanover,Middle,Chickahominy Middle School,37.665955,-77.412051,"9450 Atlee Station Rd, Mechanicsville, VA 23116"
Hanover,Middle,Liberty Middle School,37.781244,-77.532515,"13496 Liberty School Rd, Ashland, VA 23005"
Hanover,Middle,Oak Knoll Middle School,37.686105,-77.383867,"10295 Chamberlayne Rd, Mechanicsville, VA 23116"
Hanover,High,The Georgetown School,37.687777,-77.389264,"10000 Learning Ln, Mechanicsville, VA 23116"
Hanover,High,Atlee High School,37.664675,-77.410293,"9414 Atlee Station Rd, Mechanicsville, VA 23116"
Hanover,High,Hanover High School,37.687959,-77.384326,"10307 Chamberlayne Rd, Mechanicsville, VA 23116"
Hanover,High,Mechanicsville High School,37.612758,-77.339873,"7052 Mechanicsville Turnpike, Mechanicsville, VA 23111"
Hanover,High,Patrick Henry High School,37.786166,-77.53373,"12449 W Patrick Henry Rd, Ashland, VA 23005"
Henrico,Elementary,Anthony P. Mehfoud Elementary School,37.436884,-77.344657,"8320 Buffin Rd, Richmond, VA 23231"
Henrico,Elementary,Arthur Ashe Jr. Elementary School,37.57149,-77.36433,"1001 Cedar Fork Road, Richmond, VA 23223"
Henrico,Elementary,Cashell Donahoe Elementary School,37.538235,-77.292703,"1801 Graves Rd, Sandston, VA 23150"
Henrico,Elementary,Chamberlayne Elementary School,37.632008,-77.441534,"8200 St Charles Rd, Richmond, VA 23227"
Henrico,Elementary,Charles M. Johnson Elementary School,37.60288,-77.504957,"5600 Bethlehem Rd, Henrico, VA 23230"
Henrico,Elementary,Colonial Trail Elementary School,37.660986,-77.614363,"12101 Bacova Drive, Glen Allen, VA 23059"
Henrico,Elementary,Crestview Elementary School,37.600053,-77.521053,"1901 Charles St, Henrico, VA 23226"
Henrico,Elementary,David A. Kaechele Elementary School,37.692826,-77.631162,"5680 Pouncey Tract Rd, Glen Allen, VA 23059"
Henrico,Elementary,Dumbarton Elementary School,37.638938,-77.518568,"9000 Hungary Spring Rd, Henrico, VA 23228"
Henrico,Elementary,Echo Lake Elementary School,37.668259,-77.544437,"5200 Francistown Rd, Glen Allen, VA 23060"
Henrico,Elementary,Elizabeth Holladay Elementary School,37.619604,-77.489869,"7300 Galaxie Rd, Henrico, VA 23228"
Henrico,Elementary,Fair Oaks Elementary School,37.534142,-77.320666,"201 Jennings Rd, Highland Springs, VA 23075"
Henrico,Elementary,Gayton Elementary School,37.635401,-77.633011,"12481 Church Rd, Henrico, VA 23233"
Henrico,Elementary,George F. Baker Elementary School,37.482763,-77.367692,"6651 Willson Rd, Richmond, VA 23231"
Henrico,Elementary,Glen Allen Elementary School,37.678692,-77.523511,"11101 Mill Rd, Glen Allen, VA 23060"
Henrico,Elementary,Glen Lea Elementary School,37.580355,-77.400833,"3909 Austin Ave, Richmond, VA 23222"
Henrico,Elementary,Greenwood Elementary School,37.671279,-77.487907,"10960 Greenwood Rd, Glen Allen, VA 23060"
Henrico,Elementary,Harold Macon Ratcliffe Elementary School,37.567972,-77.389142,"2901 Thalen St, Richmond, VA 23223"
Henrico,Elementary,Harvie Elementary School,37.570307,-77.379663,"3401 Harvie Rd, Henrico, VA 23223"
Henrico,Elementary,Henry D. Ward Elementary School,37.467308,-77.324885,"3400 Darbytown Road, Richmond, VA 23231"
